commit_URL,is_bugfix,obs
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/ea2f6982d5ed2d370191c2c4be386299d9bb5406,0,"according to commit description (terraform version compatibility formatting (style, not functional defect))"
https://github.com/aztfmod/terraform-azurerm-caf/commit/166299206b95ca495df2641aaa4f685d3ad42bc8,1,implements missing firewall diagnostics configuration (referenced issue #550)
https://github.com/awslabs/data-on-eks/commit/0d9b6ca03aefd7b7491114de01d1b338a4151e1c,0,whitespace cleanup only (trailing spaces removed)
https://github.com/coreos/tectonic-installer/commit/3ac7f7519ee071f04e621a4ae38ca0e88b8f82c3,0,"kubernetes/bootkube version upgrade (1.5.6→1.6.1, 0.3.13→0.4.0) with feature additions (taints, tolerations, affinity, liveness probes)"
https://github.com/hashicorp/terraform/commit/46d3800a395b7c3911b67e34f21b9373a247a145,0,remove some unused test fixtures
https://github.com/kube-hetzner/terraform-hcloud-kube-hetzner/commit/4678cecc477ab955dcf1d2e69068701af4c721ee,1,fix output logic for klipper load balancer (issue #221; conditional incomplete)
https://github.com/cattle-ops/terraform-aws-gitlab-runner/commit/c46b080ebc648286bce7693f2c82837a81328db0,1,according to commit description (fix: Removed extra backticks for KMS key in EBS config.)
https://github.com/aztfmod/terraform-azurerm-caf/commit/c0c5bc9bd2242cb0e85210e55cd126ffc1067227,1,"according to commit description (Fix application gateway, ssl profile, ssl policy)"
https://github.com/aztfmod/terraform-azurerm-caf/commit/02575ccc6413cbc5d8e060ddd9bd84fc2d46c531,1,fix regression in principal_id condition; correct variable scope_lz_key → object_id_lz_key (PR #1116 hotfix)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/dfc5023e0bb832c6a263bf896876d871fca1c83e,0,"refactor deletion_protection to be consistent across all data storage modules (feature, not defect fix)"
https://github.com/aztfmod/terraform-azurerm-caf/commit/f4a9641222189936cda095a29a0a649b959c9129,0,"resolve conflicts; dependency bumps (rover, pre-commit), test case additions, module→local refactor"
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/77a7690b1c96674ef97e1c5ed8abdd92ab126a92,0,CI/version maintenance (TF upgrade 0.11.8); not IaC defect
https://github.com/khuedoan/homelab/commit/972c7acaa241a0523983f1f3387c6644a1833b0d,1,according to commit description (Fix provision script for controller)
https://github.com/terraform-google-modules/terraform-google-project-factory/commit/50e4ea22e485d20d882ab1b1d99314da50b12613,0,"lint/style compliance (splat syntax .* → [*], missing provider source); CI version update (developer-tools 1→1.16); not IaC bugfix"
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/62665f247541597d64367d7458a37397545faf9d,1,according to commit description (Fix ipv6 and align loadbalancer address types)
https://github.com/coreos/tectonic-installer/commit/5fbe1af8b902e6a1ca10601ce0fb8b2ee14bead3,0,provider version upgrade (tls 1.0.0→1.0.1); not IaC bugfix (dependency fix)
