commit_URL,is_bugfix,obs
https://github.com/aztfmod/terraform-azurerm-caf/commit/2bb9cd48f3448e59cc5a0a6da45df88a680a98e0,TRUE,Commit message (fixed vm modules to…)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/13a236bca2862f866693dc0da4846669ec7774bb,TRUE,Commit message (fix reference to…)
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/commit/b2af6fdd33ce692e3d79e2eb2ad151a6a6faacdd,TRUE,Commit message (fix e2e examples with…)
https://github.com/poseidon/typhoon/commit/36ed53924fefd39f75421132a941c542dafd09a5,FALSE,The commit message and description indicate that its an addition (add stricter types for …)
https://github.com/github-aws-runners/terraform-aws-github-runner/commit/19138d9ee9d3abcf16f684782f2a51d32986d636,TRUE,Commit message (fix(multi-runner): missing…)
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/03c223131fc0a7cf56917120ba8bbdb5c38622b0,TRUE,Commit message (fix issue where…)
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/cf3dcc5c58799f3b720924311e2a0574bc7553bb,TRUE,Commit description (fixing formatting…)
https://github.com/terraform-aws-modules/terraform-aws-eks/commit/54a5f1e42b7e2b17f298e4ff19a4821e3de97201,TRUE,Commit message (fix: bug with data)
https://github.com/semgrep/semgrep-rules/commit/8e1ce5a8c67fd198657c94a7cb68688ba2cdbb1a,TRUE,"Commit message (fix issue 3564, which is classified as bug)"
https://github.com/aztfmod/terraform-azurerm-caf/commit/c5bd4c6941c37b4a5fe58b9e08472c576d100865,TRUE,Commit description (fix ci…)
https://github.com/terraform-google-modules/terraform-google-kubernetes-engine/commit/de467d939cde41985fa608a8c81a58bd6761004e,TRUE,Commit description (fix issues with…)
https://github.com/cloudposse/terraform-aws-components/commit/1887df62a3e716c14db949a9f412b97650d2b77f,TRUE,Commit message (bugfix:)
https://github.com/coreos/tectonic-installer/commit/45dfc2b24d48bdec0b1105c054e4e6fdda92c47a,TRUE,Commit description (fixes #402)
https://github.com/aztfmod/terraform-azurerm-caf/commit/d88648ae31a85adf719e0cce5f5b0f8418c605b1,TRUE,Commit message (fix combined_objects…)
